"Polyglot","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LANGUAGE_THIS_EN","[LanguageName] in english","English","French","Spanish","German","Italian","Brazilian Portuguese","","Russian","","","","","Swedish","Dutch","","","Japanese","Simplified Chinese","Traditional Chinese","Korean","","Hungarian","","","","Hebrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LANGUAGE_THIS","","English","Français","Español","Deutsch","Italiano","Português-Brasileiro","","Русский","","","","","Svenska","Nederlands","","","日本語","简体中文","繁體中文","한국어","","Magyar","","","","עברית","","","Íslenska","Gaeilge","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEALTH_AND_SAFETY_WARNING_TITLE","","Health And Safety Warning","Avertissement de santé et de sécurité","Advertencia de Salud y Seguridad","Gesundheits- und Sicherheitshinweise","Avviso Salute E Sicurezza","Aviso de Saúde e Segurança","","Предупреждение о безопасности здоровья","","","","","Varning för hälsa och säkerhet","Gezondheids- en veiligheidswaarschuwing","","","健康と安全上の注意","健康与安全警告","健康與安全警告","건강 및 안전 경고","","Egészségügyi és biztonsági figyelmeztetés","","","","אזהרת ביטחון ובריאות","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEALTH_AND_SAFETY_WARNING_CONTENT","","A small percentage of people may experience seizures when exposed to certain lights, patterns or images even with no history of epilepsy or seizures.

Please read health and safety warnings in your VR headset instruction manual before playing Beat Saber. Because you may be encouraged to perform intense action with your controllers also make sure to review your surroundings and clear any obstacles in your play area before starting the game. Always remember to stay in the center of the cleared play area and do not walk around.

Playing Beat Saber requires high physical activity so follow the same habits as doing a regular workout. Don't forget to stretch before playing and rest regularly in between levels. Some people may experience muscle soreness. If you experience this then immediately stop playing the game and rest.","Certains signaux lumineux, motifs ou images peuvent entraîner des crises d'épilepsie chez certaines personnes, avec ou sans antécédents.

Veuillez lire la notice sur la santé et la sécurité dans le manuel de votre casque de RV avant de jouer à Beat Saber. Dans la mesure où le jeu vous invite à effectuer des mouvements intenses et amples avec vos manettes, nous vous recommandons de bien dégager votre environnement de jeu avant de commencer. Restez bien au centre de votre zone de jeu et ne vous déplacez pas.

Beat Saber est un jeu impliquant une activité physique intense. Veuillez appliquer les précautions d'usage lors d'un exercice physique habituel. N'oubliez pas de vous étirer avant de jouer et de vous reposer régulièrement entre les niveaux. Certaines personnes pourront ressentir des douleurs musculaires. Dans ce cas, veuillez cesser votre partie immédiatement et vous reposer.","Un pequeño porcentaje de personas pueden experimentar convulsiones al estar expuestas a ciertas luces, patrones o imágenes, incluso sin tener un historial de epilepsia o convulsiones.

Lee las advertencias de salud y seguridad en el manual de instrucciones de tu equipo de RV antes de jugar Beat Saber. Ya que posiblemente se te pida que realices movimientos intensos con tus controles, asegúrate también de revisar tu entorno y despejar cualquier obstáculo en tu zona de juego antes de comenzar a jugar. Siempre recuerda mantenerte en el centro del área de juego despejada y procura no caminar.

Jugar Beat Saber requiere de una actividad física intensa, así que sigue los mismos hábitos que realizas cuando haces ejercicio regularmente. No olvides hacer estiramientos antes de jugar y descansar de manera regular entre un nivel y otro. Algunas personas pueden presentar dolores musculares. Si experientas esto, entonces deja de jugar de inmediato y descansa.","Bei einem sehr kleinen Prozentsatz von Personen kann es zu epileptischen Anfällen kommen, wenn sie bestimmten Lichteffekten, -mustern oder -bildern ausgesetzt sind, auch wenn in der Vergangenheit keine epileptischen Anfälle aufgetreten sind.

Bitte lies dir die Gesundheits- und Sicherheitshinweise in der Anleitung deines VR-Headsets durch, bevor du Beat Saber spielst. Da du möglicherweise zu intensiven Aktionen mit deinen Controllern aufgefordert wirst, solltest du auch darauf achten, deine Umgebung zu überprüfen und etwaige Hindernisse aus deinem Spielbereich zu beseitigen, bevor du mit dem Spiel beginnst. Denke immer daran, in der Mitte des freigeräumten Spielbereichs zu bleiben und nicht herumzulaufen.

Das Spielen von Beat Saber erfordert hohe physische Aktivität, daher solltest du den gleichen Gewohnheiten wie bei einem normalen Training folgen. Vergiss nicht, dich vor dem Spielen zu dehnen und dich zwischen den Leveln regelmäßig auszuruhen. Bei manchen Menschen kann Muskelkater auftreten. Sollte dies bei dir auftreten, dann höre sofort zu spielen auf und ruhe dich aus.","Una piccola percentuale di persone può sperimentare convulsioni quando esposti a certe luci, modelli o immagini anche senza storia di epilessia o convulsioni.

Si prega di leggere le avvertenze per la salute e la sicurezza nel manuale di istruzioni nel vostro visore VR prima di giocare a Beat Saber. Siccome si può essere incoraggiati a eseguire intense azioni con i controller, bisogna anche assicurarsi di rivedere l'ambiente circostante e rimuovere eventuali ostacoli nella vostra zona di gioco prima di iniziare la partita. Ricordatevi sempre di rimanere nel centro della zona libera da ostacoli e non camminarci intorno.

Giocare a Beat Saber richiede un'elevata attività fisica in modo da seguire le stesse abitudini di fare un allenamento regolare. Non dimenticare di fare stretching prima di giocare e riposare regolarmente tra i livelli. Alcune persone possono sperimentare dolore muscolare. Se si verifica questo bisogna immediatamente smettere di giocare e riposare.","Uma pequena percentagem de pessoas pode sofrer convulsão quando expostas a certas luzes, padrões ou imagens, mesmo sem histórico de epilepsia ou convulsão.

Por favor, leia os avisos de saúde e segurança no seu manual de instruções do headset VR antes de jogar Beat Saber. Porque você pode ser incentivado a executar uma ação intensa com seus controles, também certifique-se de olhar o seu ambiente e eliminar quaisquer obstáculos em sua área de jogo antes de começar a jogar. Lembre-se sempre de permanecer no centro da área de jogo, livre de obstáculos e não ande por aí.

Jogar Beat Saber requer atividade física intensa, então siga os mesmos hábitos que faz em um treino normal. Não se esqueça de se alongar antes de jogar e descansar regularmente entre os níveis. Algumas pessoas podem experienciar dores musculares. Se você experienciar, pare imediatamente de jogar o jogo e descanse.","","Небольшой процент людей может подвергнуться припадкам при воздействии определенных огней, узоров или изображений даже без проявления ранее эпилепсии или припадков.

Прежде чем играть в Beat Saber, ознакомьтесь с предупреждениями о защите здоровья и безопасности в руководстве вашего шлема виртуальной реальности. Потому что вы можете производить активные действия с вашими контроллерами, 
а также осмотрите ваше окружение и уберите препятствия на вашей игровой зоне до начала игры. Не забывайте стоять в центре очищенной игровой области и не ходить вокруг.

Игра в Beat Saber требует высокой физической активности, поэтому следуйте тем же привычкам, что и в обычных тренировках. Не забудьте о растяжке перед игрой и регулярном отдыхе между уровнями. Некоторые люди могут испытывать боль в мышцах. Если вы испытываете это, немедленно прекратите играть в игру и отдохните.","","","","","En liten del av människor kan uppleva anfall när de utsätts för vissa ljus, mönster eller bilder även utan tidigare epilepsi eller kramper.

Vänligen läsa hälso-och säkerhetsvarningarna i ditt VR headsets manual innan du spelar Beat Saber. Eftersom du kan bli uppmuntrad till att göra intensiva handlingar med dina kontroller, vänligen kolla runt och ta bort alla hinder i din spelyta innan du börjar spela. Tänk alltid på att stanna i centrumet av din tom spelyta och inte gå runt. Att spela Beat Saber kräver mycket fysisk aktivitet, så följa samma vanorna som med en vanlig workout. Glöm inte att stretcha innan du spelar och att vila ibland. Vissa människor kan uppleva muskelsårighet. Om du upplever det här, sluta spela omedelbart och vila.","Een klein percentage van de mensen kan epileptische aanvallen krijgen wanneer ze worden blootgesteld aan bepaalde lichten, patronen of beelden, zelfs zonder voorgeschiedenis van epilepsie of aanvallen.

Lees de gezondheids- en veiligheidswaarschuwingen in de instructiehandleiding van je VR-headset voordat je Beat Saber gaat spelen. Omdat je wordt aangemoedigd om intense bewegingen te doen met je controllers, is het best dat je je omgeving controleert en mogelijke obstakels uit je spelomgeving verwijderd alvorens het spel te starten. Probeer altijd in het center van je spelomgeving te blijven en zo min mogelijk rond te wandelen.

Het spelen van Beat Saber vereist ook enorme fysieke inspanningen, volg dan ook dezelfde gewoontes die je zou doen voor een gewone work-out. Vergeet niet te stretchen voor het spelen en neem regelmatig een pauze tussen levels. Sommigen kunnen last krijgen van verzuurde spieren. Als je hiervan last zou krijgen, stop dan onmiddellijk met spelen en rust een tijdje.","","","少ない割合ですが、特定の光、模様、画像にさらされると、てんかんや発作の前歴のない人でも発作を起こす人がいます。

Beat Saberをプレイする前に、VRヘッドセットの説明書の健康と安全上の注意をよくお読みください。このゲームは、コントローラーで激しいアクションを行うので、周囲を十分に確認して、プレイエリアの障害を取り除いてから、ゲームをプレイしてください。常に安全なプレイエリアの中心でプレイするように心がけ、歩き回らないでください。

Beat Saberのプレイには、高いレベルの身体活動が必要になるので、通常の運動と同様の習慣に従うようにしてください。プレイの前にはストレッチを忘れずに行い、ステージの合間に定期的に休むようにしてください。人によっては、筋肉痛になることがあります。筋肉痛を感じたら、すぐにプレイを止めて休んでください。","有小部分的人暴露在某种光线、图案或者图像时可能会引发癫痫发作即使没有癫痫病史。
 
在游玩Beat Saber之前，请阅读VR设备手册中的健康与安全警告。游戏过程会让您使用手柄做出激烈的运动，所以请仔细检查周围环境并在开始游戏前清除游玩区域内所有的障碍物。请保持身处空旷的游玩区域中心并避免到处走动。
 
游玩Beat Saber需要高强度的身体活动，所以请保持定期锻炼时的习惯。请不要忘记在游玩前进行热身并经常在关卡间隔休息。部分玩家可能经历肌肉酸痛。如果你遇到这种情况，请立即停止游戏并充分地休息。","有小部分的人暴露在某種光線、圖案或者圖像時即使沒有癲癇病史也有引發癲癇發作的可能。
 
 在遊玩Beat Saber之前，請閱讀VR設備手冊中的健康與安全警告。遊戲過程會讓您使用手柄做出激烈的運動，所以請仔細檢查周圍環境並在開始遊戲前清除遊玩區域內所有的障礙物。請保持身處空曠的遊玩區域中性並避免到處走動。
 
 遊玩Beat Saber需要高強度的身體活動，所以請保持定期鍛煉時的習慣。請不要忘記在遊玩前進行熱身並經常在關卡間隔休息。部分玩家可能經歷肌肉酸痛。如果你遇到這種情況，請立即停止遊戲並充分地休息。","소수의 인구는 이전에 간질이나 발작 이력이 없는 경우에도 특정 조명, 패턴 또는 이미지에 노출되었을 때 발작을 경험할 수 있습니다.

Beat Saber를 플레이하기 전에 VR 헤드셋 사용 설명서의 건강 및 안전 경고를 읽어 주십시오. 컨트롤러와 함께 격렬한 행동을 수행해야 할 수도 있기 때문에, 게임을 시작하기 전에 먼저 주변 환경을 잘 살피고 플레이하는 공간 주변에서 장애물을 제거해주십시오. 항상 장애물이 없는 플레이 공간의 중앙에서 포지션을 유지하고, 돌아다니지 말 것을 잊지 마십시오.

Beat Saber 플레이에는 활발한 신체 활동이 요구되므로 일반적으로 운동할 때와 같이 행동해주십시오. 플레이 전에 스트레칭하고 레벨 중간에 규칙적으로 휴식을 취하는 것을 잊지 마십시오. 근육통을 경험하는 경우도 있으니, 이 경우에는 바로 중단하고 휴식을 취하십시오.","","Az emberek kis százaléka görcsrohamokat tapasztalhat, ha bizonyos fényeknek, mintáknak vagy képeknek vannak kitéve, még akkor is, ha kórtörténetükben nem szerepel epilepszia vagy roham.

Kérjük, olvasd el az egészségügyi és biztonsági figyelmeztetéseket a VR-fejszett használati útmutatójában a játék előtt. Mivel a játék során intenzív mozdulatokat is végezhetsz, győződj meg arról, hogy a környezeted tiszta. Távolítsd el az akadályokat a játéktérről, mielőtt elkezdenéd a játékot. Ne feledd, maradj a kijelölt játéktér közepén.

A Beat Saber nagy fizikai aktivitást igényel, ezért kövesd ugyanazokat a szokásokat, mint egy rendszeres edzés során. Ne felejts el nyújtani a játék előtt, illetve tarts elegendő szünetet a pályák között. Néhányan izomfájdalmat tapasztalhatnak. Ha ezt tapasztalod, azonnal hagyd abba a játékot és tarts pihenőt.","","","","אחוז קטן מהאנשים עשויים לחוות התקפים כאשר נחשפים לאורות, דפוסים או תמונות מסוימות גם אם אין להם עבר אפילפטי או התקפי.

אנא קראו את אזהרות הבטיחות והבריאות בהוראות משקפי המציאות המדומה לפני שתשחקו ביט סייבר. מכיוון שייתכן ותרצו לבצע פעולות אינטנסיביות עם השלטים שלכם מומלץ שתוודאו שבחנתם את סביבת המשחק ופיניתם את המכשולים ממשטח המשחק לפני שתתחילו את המשחק. תמיד תזכרו להישאר במרכז המשטח המיועד למשחק ולא להתהלך במרחב.

לשחק ביט סייבר דורש פעילות פיזית עוצמתית לכן עקבו אחר אותן ההוראות אשר יש באימון רגיל. אל תשכחו להתמתח לפני שאתם משחקים ולנוח בין שלבים. חלק מהאנשים ירגישו כאב בשרירים מלשחק ביט סייבר. אם אתם חווים את זה תעצרו את המשחק מיד ותנוחו.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_TITLE","","Credits","Crédits","Créditos","Mitwirkende","Riconoscimenti","Créditos","","Титры","","","","","Tack till","Credits","","","クレジット","鸣谢","感謝","크레딧","","Készítők","","","","קרדיטים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_OG","","OG Team","Équipe originelle","Equipo de OG","OG-Team","Team OG","Equipe OG","","OG Team","","","","","Original laget","Origineel team","","","OGチーム","OG团队","OG團隊","OG 팀","","Eredeti csapat","","","","הקבוצה המקורית","","","Upprunalega Liðið","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_GAME_DESIGN","","Game Design","Conception","Diseño de Juego","Spieldesign","Game Design","Design de Jogo","","Игровой дизайн","","","","","Speldesign","Spelontwerp","","","ゲームデザイン","游戏设计","遊戲設計","게임 디자인","","Játéktervezés","","","","מעצבי המשחק","","","Leikjahönnun","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_SOUND","","Music Content & Sound","Contenu musical et son","Contenido Musical y Sonido","Musikinhalte & Sound","Music Content & Sound","Conteúdo de Música e Som","","Музыкальный и звуковой контент","","","","","Musikinnehål och ljud","Muziekinhoud & geluiden","","","音楽＆サウンド","音乐及音效","音樂及音效","음악 콘텐츠 & 사운드","","Zenei tartalom és hangok","","","","מוזיקת המשחק והצלילים","","","Tónlista- og Hljóðmenn","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_MARKETING","","Marketing","Marketing","Marketing","Vermarktung","Marketing","Publicidade","","Маркетинг","","","","","Marknadsföring","Marketing","","","マーケティング","市场营销","市場營銷","마케팅","","Marketing","","","","שיווק","","","Markaðsdeild","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_PROGRAMMING","","Programming","Programmation","Programación","Programmierung","Programming","Programadores","","Программирование","","","","","Programmerare","Ontwikkelaars","","","プログラミング","程序设计","軟體工程師","프로그래밍","","Programozás","","","","מתכנתים","","","Forritun","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
